"Path","LineNumber","Pattern","Line"
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductBadges.tsx","39","text-slate-",": ""rounded-full border border-white/10 bg-white/[0.08] px-2 py-1 text-xs text-slate-300"""
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductBadges.tsx","81","text-slate-","inactive: ""border-slate-300/20 bg-slate-300/10 text-slate-200"","
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductCatalog.tsx","65","border-white","<tr className=""border-b border-white/10"">"
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductHero.tsx","23","bg-white","<section className=""min-w-0 overflow-hidden rounded-[32px] border border-white/10 bg-white/[0.07] p-5 shadow-[0_20px_80px_rgba(0,0,0,0.45)] backdrop-blur-3xl sm:p-6"">"
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductHero.tsx","26","bg-white","<div className=""shrink-0 rounded-3xl border border-white/10 bg-white/[0.08] p-4 shadow-inner shadow-white/5"">"
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductHero.tsx","31","text-white","<h1 className=""truncate text-3xl font-bold tracking-tight text-white"">"
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductHero.tsx","49","bg-white","className=""inline-flex min-h-11 items-center justify-center gap-2 rounded-2xl border border-white/10 bg-white/[0.08] px-5 py-3 text-sm ${typography.cardTitle} shadow-lg shadow-black/20 transition hover:bg-white/[0.14] focus:outline-none focus:ring-2 focus:ring-cyan-300/40 disabled:cursor-not-allowed disabled:opacity-50"""
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductHero.tsx","65","shadow-black","className=""inline-flex min-h-11 items-center justify-center gap-2 rounded-2xl border border-red-400/20 bg-red-400/10 px-5 py-3 text-sm font-semibold text-red-200 shadow-lg shadow-black/20 transition hover:bg-red-400/20 focus:outline-none focus:ring-2 focus:ring-red-300/30 disabled:cursor-not-allowed disabled:opacity-50"""
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductMobileCard.tsx","36","bg-white","<article className=""min-w-0 overflow-hidden rounded-3xl border border-white/10 bg-white/[0.06] p-4 shadow-2xl shadow-black/30 backdrop-blur-2xl"">"
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductMobileCard.tsx","51","text-white","<div className=""min-w-0 break-words text-sm font-semibold leading-5 text-white"">"
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductMobileCard.tsx","59","text-slate-","<div className=""mt-3 grid min-w-0 gap-2 text-xs text-slate-300"">"
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductMobileCard.tsx","78","text-slate-","className=""inline-flex min-h-10 min-w-0 items-center justify-center gap-2 rounded-xl border border-white/10 bg-white/[0.08] px-3 py-2 text-sm font-medium text-slate-100 transition hover:bg-white/[0.14] focus:outline-none focus:ring-2 focus:ring-sky-300/30"""
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductMobileCard.tsx","115","text-slate-","<span className=""min-w-0 break-words text-right text-slate-300"">"
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductStatsGrid.tsx","78","bg-white","<div className=""min-w-0 overflow-hidden rounded-3xl border border-white/10 bg-white/[0.07] p-5 shadow-2xl shadow-black/25 backdrop-blur-2xl"">"
